game,date,player #,Player,Min,Pts,PPP,FG Att,FG Made,FG Miss,FG%,Ast,TO,Ast/TO,STL/TO,Stl,Stl Pos,Blk,Blk FGA,STL + BLK,BLK FGA/FGA,Tot Reb,Off Reb,Def Reb,PF TKN,PF COM,BLK/Foul,+/-,eFG%,TS%,TSA,SSQ,PPS,SSM,2 FG Att,2 FG Made,2 FG Miss,2 FG%,3FG Att,3 FG Made,3 FG Miss,3 FG%,3PA/FGA,FT Att,FT Made,FT Miss,FT%,FTA/FGA,+1,Chg Tkn,Chg Com,GM SCORE,TO%,+1%,Score%,%SF,PTSc,LOW SSQ Made,LOW SSQ Miss,LOW SSQ Att,LOW SSQ % Time,HIGH SSQ Made,HIGH SSQ Miss,HIGH SSQ Att,HIGH SSQ % Time,%FT
Maryland-Eastern Shore@Fordham,11/19/2021,10,Kyle Rose,31:00,8,0.889,6,2,4,33.3%,1,0,-,-,2,0,1,0,3,0.00,7,4,3,4,5,0.20,5,41.7%,51.5%,8,-,-,-,2,1,1,50.0%,4,1,3,25.0%,0.67,4,3,1,75.0%,0.67,0,0,0,9.3,0.0%,0.0%,0.0%,0.0%,10,-,-,-,-,-,-,-,-,0.0%
Maryland-Eastern Shore@Fordham,11/19/2021,15,Rostyslav Novitskyi,04:00,0,0.000,0,0,0,-,0,2,0.00,0.00,0,1,0,0,0,-,0,0,0,0,1,0.00,-5,-,-,0,-,-,-,0,0,0,-,0,0,0,-,-,0,0,0,-,-,0,0,0,-2.4,100.0%,0.0%,0.0%,0.0%,0,-,-,-,-,-,-,-,-,0.0%
Maryland-Eastern Shore@Fordham,11/19/2021,21,Josh Navarro,25:00,0,0.000,0,0,0,-,2,1,2.00,0.00,0,0,0,0,0,-,2,0,2,0,1,0.00,-14,-,-,0,-,-,-,0,0,0,-,0,0,0,-,-,0,0,0,-,-,0,0,0,0.6,100.0%,0.0%,0.0%,0.0%,5,-,-,-,-,-,-,-,-,0.0%
Maryland-Eastern Shore@Fordham,11/19/2021,24,Antrell Charlton,41:00,4,0.308,11,2,9,18.2%,1,1,1.00,5.00,5,1,0,0,5,0.00,10,4,6,1,5,0.00,11,18.2%,18.2%,11,-,-,-,6,2,4,33.3%,5,0,5,0.0%,0.45,0,0,0,-,0.00,0,0,0,4.4,7.7%,0.0%,0.0%,0.0%,6,-,-,-,-,-,-,-,-,0.0%
Maryland-Eastern Shore@Fordham,11/19/2021,30,Abdou Tsimbila,12:00,6,1.000,4,1,3,25.0%,0,0,-,-,0,0,1,0,1,0.00,4,1,3,2,1,1.00,-12,25.0%,52.1%,6,-,-,-,4,1,3,25.0%,0,0,0,-,0.00,4,4,0,100.0%,1.00,0,0,0,5.5,0.0%,0.0%,0.0%,0.0%,6,-,-,-,-,-,-,-,-,0.0%
Maryland-Eastern Shore@Fordham,11/19/2021,50,Ahmad Harrison,-,0,0.000,0,0,0,-,0,0,-,-,0,0,0,0,0,-,1,0,1,0,0,-,-1,-,-,0,-,-,-,0,0,0,-,0,0,0,-,-,0,0,0,-,-,0,0,0,0.3,0.0%,0.0%,0.0%,0.0%,0,-,-,-,-,-,-,-,-,0.0%
game,date,player #,Player,Min,Pts,PPP,FG Att,FG Made,FG Miss,FG%,Ast,TO,Ast/TO,STL/TO,Stl,Stl Pos,Blk,Blk FGA,STL + BLK,BLK FGA/FGA,Tot Reb,Off Reb,Def Reb,PF TKN,PF COM,BLK/Foul,+/-,eFG%,TS%,TSA,SSQ,PPS,SSM,2 FG Att,2 FG Made,2 FG Miss,2 FG%,3FG Att,3 FG Made,3 FG Miss,3 FG%,3PA/FGA,FT Att,FT Made,FT Miss,FT%,FTA/FGA,+1,Chg Tkn,Chg Com,GM SCORE,TO%,+1%,Score%,%SF,PTSc,LOW SSQ Made,LOW SSQ Miss,LOW SSQ Att,LOW SSQ % Time,HIGH SSQ Made,HIGH SSQ Miss,HIGH SSQ Att,HIGH SSQ % Time,%FT
Fordham@Akron,11/22/2021,0,Kam'ron Cunningham,03:00,0,-,0,0,0,-,0,0,-,-,0,0,0,0,0,-,0,0,0,0,1,0.00,-1,-,-,0,-,-,-,0,0,0,-,0,0,0,-,-,0,0,0,-,-,0,0,0,-0.4,-,-,-,-,0,-,-,-,-,-,-,-,-,-
Fordham@Akron,11/22/2021,1,Chuba Ohams,23:00,5,0.625,6,2,4,33.3%,0,1,0.00,0.00,0,1,1,0,1,0.00,6,1,5,1,2,0.50,15,41.7%,41.7%,6,-,-,-,5,1,4,20.0%,1,1,0,100.0%,0.17,0,0,0,-,0.00,0,0,0,2.7,12.5%,0.0%,0.0%,0.0%,5,-,-,-,-,-,-,-,-,0.0%
Fordham@Akron,11/22/2021,3,Darius Quisenberry,30:00,17,0.895,15,6,9,40.0%,3,3,1.00,0.00,0,1,0,0,0,0.00,5,1,4,3,1,0.00,23,43.3%,50.7%,17,-,-,-,9,5,4,55.6%,6,1,5,16.7%,0.40,4,4,0,100.0%,0.27,0,0,0,9.5,15.8%,0.0%,0.0%,0.0%,30,-,-,-,-,-,-,-,-,0.0%
Fordham@Akron,11/22/2021,5,Antonio Daye Jr.,27:00,19,1.118,8,5,3,62.5%,0,2,0.00,0.00,0,0,0,0,0,0.00,4,0,4,5,2,0.00,16,68.8%,76.6%,12,-,-,-,6,4,2,66.7%,2,1,1,50.0%,0.25,10,8,2,80.0%,1.25,0,0,0,13.0,11.8%,0.0%,0.0%,0.0%,23,-,-,-,-,-,-,-,-,0.0%
Fordham@Akron,11/22/2021,10,Kyle Rose,33:00,8,1.333,6,3,3,50.0%,2,0,-,-,0,0,1,0,1,0.00,7,4,3,2,2,0.50,13,66.7%,66.7%,6,-,-,-,1,1,0,100.0%,5,2,3,40.0%,0.83,0,0,0,-,0.00,0,0,0,10.0,0.0%,0.0%,0.0%,0.0%,13,-,-,-,-,-,-,-,-,0.0%
Fordham@Akron,11/22/2021,14,Albe Evans,02:00,0,-,0,0,0,-,0,0,-,-,0,0,0,0,0,-,0,0,0,0,0,-,0,-,-,0,-,-,-,0,0,0,-,0,0,0,-,-,0,0,0,-,-,0,0,0,0.0,-,-,-,-,0,-,-,-,-,-,-,-,-,-
Fordham@Akron,11/22/2021,15,Rostyslav Novitskyi,14:00,1,0.333,0,0,0,-,1,1,1.00,0.00,0,1,0,0,0,-,2,0,2,0,2,0.00,7,-,56.8%,1,-,-,-,0,0,0,-,0,0,0,-,-,2,1,1,50.0%,-,0,0,0,0.1,33.3%,0.0%,0.0%,0.0%,3,-,-,-,-,-,-,-,-,0.0%
Fordham@Akron,11/22/2021,21,Josh Navarro,09:00,0,0.000,2,0,2,0.0%,0,0,-,-,0,0,0,0,0,0.00,1,0,1,0,2,0.00,-1,0.0%,0.0%,2,-,-,-,1,0,1,0.0%,1,0,1,0.0%,0.50,0,0,0,-,0.00,0,0,0,-1.9,0.0%,0.0%,0.0%,0.0%,0,-,-,-,-,-,-,-,-,0.0%
Fordham@Akron,11/22/2021,24,Antrell Charlton,35:00,7,0.778,8,3,5,37.5%,1,0,-,-,2,0,0,0,2,0.00,7,2,5,0,4,0.00,18,43.8%,43.8%,8,-,-,-,7,2,5,28.6%,1,1,0,100.0%,0.13,0,0,0,-,0.00,0,0,0,6.6,0.0%,0.0%,0.0%,0.0%,12,-,-,-,-,-,-,-,-,0.0%
Fordham@Akron,11/22/2021,30,Abdou Tsimbila,13:00,2,0.667,2,1,1,50.0%,0,0,-,-,0,0,1,0,1,0.00,4,0,4,1,3,0.33,5,50.0%,34.7%,3,-,-,-,2,1,1,50.0%,0,0,0,-,0.00,2,0,2,0.0%,1.00,0,0,0,0.9,0.0%,0.0%,0.0%,0.0%,2,-,-,-,-,-,-,-,-,0.0%
Fordham@Akron,11/22/2021,50,Ahmad Harrison,12:00,4,0.667,4,1,3,25.0%,0,0,-,-,2,0,0,0,2,0.00,0,0,0,2,1,0.00,5,25.0%,37.6%,5,-,-,-,3,1,2,33.3%,1,0,1,0.0%,0.25,3,2,1,66.7%,0.75,0,0,0,2.8,0.0%,0.0%,0.0%,0.0%,4,-,-,-,-,-,-,-,-,0.0%
game,date,player #,Player,Min,Pts,PPP,FG Att,FG Made,FG Miss,FG%,Ast,TO,Ast/TO,STL/TO,Stl,Stl Pos,Blk,Blk FGA,STL + BLK,BLK FGA/FGA,Tot Reb,Off Reb,Def Reb,PF TKN,PF COM,BLK/Foul,+/-,eFG%,TS%,TSA,SSQ,PPS,SSM,2 FG Att,2 FG Made,2 FG Miss,2 FG%,3FG Att,3 FG Made,3 FG Miss,3 FG%,3PA/FGA,FT Att,FT Made,FT Miss,FT%,FTA/FGA,+1,Chg Tkn,Chg Com,GM SCORE,TO%,+1%,Score%,%SF,PTSc,LOW SSQ Made,LOW SSQ Miss,LOW SSQ Att,LOW SSQ % Time,HIGH SSQ Made,HIGH SSQ Miss,HIGH SSQ Att,HIGH SSQ % Time,%FT
Delaware@Fordham,11/23/2021,0,Kam'ron Cunningham,04:00,0,0.000,2,0,2,0.0%,1,0,-,-,0,0,0,0,0,0.00,5,2,3,0,0,-,2,0.0%,0.0%,2,-,-,-,0,0,0,-,2,0,2,0.0%,1.00,0,0,0,-,0.00,0,0,0,1.6,0.0%,0.0%,0.0%,0.0%,3,-,-,-,-,-,-,-,-,0.0%
Delaware@Fordham,11/23/2021,1,Chuba Ohams,34:00,12,0.857,10,4,6,40.0%,3,1,3.00,1.00,1,1,0,0,1,0.00,8,4,4,3,1,0.00,-1,40.0%,47.5%,13,-,-,-,10,4,6,40.0%,0,0,0,-,0.00,6,4,2,66.7%,0.60,0,0,0,11.5,7.1%,0.0%,0.0%,0.0%,19,-,-,-,-,-,-,-,-,0.0%
Delaware@Fordham,11/23/2021,3,Darius Quisenberry,34:00,10,0.588,13,3,10,23.1%,1,3,0.33,0.67,2,1,0,0,2,0.00,3,0,3,2,4,0.00,-6,30.8%,36.0%,14,-,-,-,6,1,5,16.7%,7,2,5,28.6%,0.54,2,2,0,100.0%,0.15,0,0,0,1.1,17.6%,0.0%,0.0%,0.0%,17,-,-,-,-,-,-,-,-,0.0%
Delaware@Fordham,11/23/2021,5,Antonio Daye Jr.,29:00,15,0.938,12,5,7,41.7%,2,2,1.00,0.50,1,0,0,0,1,0.00,4,1,3,5,3,0.00,-10,45.8%,54.5%,14,-,-,-,8,4,4,50.0%,4,1,3,25.0%,0.33,4,4,0,100.0%,0.33,2,0,0,9.4,12.5%,12.5%,0.0%,0.0%,20,-,-,-,-,-,-,-,-,0.0%
Delaware@Fordham,11/23/2021,10,Kyle Rose,26:00,10,1.667,6,4,2,66.7%,0,0,-,-,1,0,0,0,1,0.00,0,0,0,0,3,0.00,-11,83.3%,83.3%,6,-,-,-,2,2,0,100.0%,4,2,2,50.0%,0.67,0,0,0,-,0.00,0,0,0,7.2,0.0%,0.0%,0.0%,0.0%,10,-,-,-,-,-,-,-,-,0.0%
