game,date,player #,Player,Min,Pts,PPP,FG Att,FG Made,FG Miss,FG%,Ast,TO,Ast/TO,STL/TO,Stl,Stl Pos,Blk,Blk FGA,STL + BLK,BLK FGA/FGA,Tot Reb,Off Reb,Def Reb,PF TKN,PF COM,BLK/Foul,+/-,eFG%,TS%,TSA,SSQ,PPS,SSM,2 FG Att,2 FG Made,2 FG Miss,2 FG%,3FG Att,3 FG Made,3 FG Miss,3 FG%,3PA/FGA,FT Att,FT Made,FT Miss,FT%,FTA/FGA,+1,Chg Tkn,Chg Com,GM SCORE,TO%,+1%,Score%,%SF,PTSc,LOW SSQ Made,LOW SSQ Miss,LOW SSQ Att,LOW SSQ % Time,HIGH SSQ Made,HIGH SSQ Miss,HIGH SSQ Att,HIGH SSQ % Time,%FT
Binghamton@Columbia,11/17/2021,32,Maka Ellis,07:00,1,1.000,0,0,0,-,0,0,-,-,1,0,0,0,1,-,0,0,0,1,2,0.00,-3,-,56.8%,1,-,-,-,0,0,0,-,0,0,0,-,-,2,1,1,50.0%,-,0,0,0,0.8,0.0%,0.0%,0.0%,0.0%,1,-,-,-,-,-,-,-,-,0.0%
Binghamton@Columbia,11/17/2021,34,Jake Tavroff,03:00,0,0.000,0,0,0,-,0,1,0.00,1.00,1,0,0,0,1,-,0,0,0,0,1,0.00,-3,-,-,0,-,-,-,0,0,0,-,0,0,0,-,-,0,0,0,-,-,0,0,0,-0.4,100.0%,0.0%,0.0%,0.0%,0,-,-,-,-,-,-,-,-,0.0%
Binghamton@Columbia,11/17/2021,35,Noah Robledo,25:00,14,1.556,7,5,2,71.4%,1,1,1.00,1.00,1,0,0,0,1,0.00,5,1,4,2,1,0.00,21,92.9%,88.8%,8,-,-,-,4,2,2,50.0%,3,3,0,100.0%,0.43,2,1,1,50.0%,0.29,0,0,0,12.9,11.1%,0.0%,0.0%,0.0%,20,-,-,-,-,-,-,-,-,0.0%
Binghamton@Columbia,11/17/2021,,Totals,-,85,1.012,63,30,33,47.6%,15,12,1.25,0.58,7,5,8,0,15,0.00,34,8,26,14,19,0.42,-,54.8%,59.9%,71,-,-,-,42,21,21,50.0%,21,9,12,42.9%,0.33,18,16,2,88.9%,0.29,2,0,0,69.0,14.3%,2.4%,0.0%,0.0%,129,-,-,-,-,-,-,-,-,0.0%
game,date,player #,Player,Min,Pts,PPP,FG Att,FG Made,FG Miss,FG%,Ast,TO,Ast/TO,STL/TO,Stl,Stl Pos,Blk,Blk FGA,STL + BLK,BLK FGA/FGA,Tot Reb,Off Reb,Def Reb,PF TKN,PF COM,BLK/Foul,+/-,eFG%,TS%,TSA,SSQ,PPS,SSM,2 FG Att,2 FG Made,2 FG Miss,2 FG%,3FG Att,3 FG Made,3 FG Miss,3 FG%,3PA/FGA,FT Att,FT Made,FT Miss,FT%,FTA/FGA,+1,Chg Tkn,Chg Com,GM SCORE,TO%,+1%,Score%,%SF,PTSc,LOW SSQ Made,LOW SSQ Miss,LOW SSQ Att,LOW SSQ % Time,HIGH SSQ Made,HIGH SSQ Miss,HIGH SSQ Att,HIGH SSQ % Time,%FT
MountStVincent@Columbia,11/20/2021,0,Jaden Cooper,08:00,2,0.500,3,0,3,0.0%,0,0,-,-,0,0,0,0,0,0.00,2,0,2,1,0,-,-7,0.0%,25.8%,4,-,-,-,1,0,1,0.0%,2,0,2,0.0%,0.67,2,2,0,100.0%,0.67,0,0,0,0.5,0.0%,0.0%,0.0%,0.0%,2,-,-,-,-,-,-,-,-,0.0%
MountStVincent@Columbia,11/20/2021,1,Luke Bolster,26:00,8,1.600,5,3,2,60.0%,4,0,-,-,2,0,0,0,2,0.00,3,0,3,0,1,0.00,31,80.0%,80.0%,5,-,-,-,2,1,1,50.0%,3,2,1,66.7%,0.60,0,0,0,-,0.00,0,0,0,11.0,0.0%,0.0%,0.0%,0.0%,18,-,-,-,-,-,-,-,-,0.0%
MountStVincent@Columbia,11/20/2021,2,Ben Milstein,03:00,0,-,0,0,0,-,1,0,-,-,0,0,0,0,0,-,0,0,0,0,1,0.00,0,-,-,0,-,-,-,0,0,0,-,0,0,0,-,-,0,0,0,-,-,0,0,0,0.3,-,-,-,-,2,-,-,-,-,-,-,-,-,- 
MountStVincent@Columbia,11/20/2021,3,Zavian McLean,18:00,11,1.100,5,3,2,60.0%,0,2,0.00,0.00,0,2,1,0,1,0.00,5,1,4,4,1,1.00,18,70.0%,72.0%,8,-,-,-,4,2,2,50.0%,1,1,0,100.0%,0.20,6,4,2,66.7%,1.20,0,0,0,8.1,20.0%,0.0%,0.0%,0.0%,11,-,-,-,-,-,-,-,-,0.0%
MountStVincent@Columbia,11/20/2021,4,Liam Murphy,29:00,26,1.733,13,8,5,61.5%,1,1,1.00,0.00,0,1,0,0,0,0.00,9,2,7,2,0,-,27,84.6%,88.1%,15,-,-,-,4,2,2,50.0%,9,6,3,66.7%,0.69,4,4,0,100.0%,0.31,0,0,0,23.3,6.7%,0.0%,0.0%,0.0%,29,-,-,-,-,-,-,-,-,0.0%
